type,startDate,endDate,value
feature_appleStandTime,2023-09-16 10:30:00 +0000,2023-09-16 10:35:00 +0000,2.0
feature_appleStandTime,2023-09-16 10:25:00 +0000,2023-09-16 10:30:00 +0000,2.0
feature_appleStandTime,2023-09-14 17:00:00 +0000,2023-09-14 17:05:00 +0000,1.0
feature_appleStandTime,2023-09-14 16:45:00 +0000,2023-09-14 16:50:00 +0000,1.0
feature_appleStandTime,2023-09-14 15:40:00 +0000,2023-09-14 15:45:00 +0000,1.0
feature_appleStandTime,2023-09-14 15:20:00 +0000,2023-09-14 15:25:00 +0000,3.0
feature_appleStandTime,2023-09-14 15:15:00 +0000,2023-09-14 15:20:00 +0000,2.0
feature_appleStandTime,2023-09-14 15:10:00 +0000,2023-09-14 15:15:00 +0000,1.0
feature_appleStandTime,2023-09-14 14:20:00 +0000,2023-09-14 14:25:00 +0000,1.0
feature_appleStandTime,2023-09-14 13:00:00 +0000,2023-09-14 13:05:00 +0000,2.0
feature_appleStandTime,2023-09-14 12:50:00 +0000,2023-09-14 12:55:00 +0000,1.0
feature_appleStandTime,2023-09-14 12:20:00 +0000,2023-09-14 12:25:00 +0000,2.0
feature_appleStandTime,2023-09-14 12:00:00 +0000,2023-09-14 12:05:00 +0000,4.0
feature_appleStandTime,2023-09-14 11:55:00 +0000,2023-09-14 12:00:00 +0000,3.0
feature_appleStandTime,2023-09-14 11:50:00 +0000,2023-09-14 11:55:00 +0000,2.0
feature_appleStandTime,2023-09-14 11:45:00 +0000,2023-09-14 11:50:00 +0000,3.0
feature_appleStandTime,2023-09-14 11:40:00 +0000,2023-09-14 11:45:00 +0000,1.0
feature_appleStandTime,2023-09-14 11:30:00 +0000,2023-09-14 11:35:00 +0000,3.0
feature_appleStandTime,2023-09-14 10:55:00 +0000,2023-09-14 11:00:00 +0000,1.0
feature_appleStandTime,2023-09-14 10:00:00 +0000,2023-09-14 10:05:00 +0000,1.0
feature_appleStandTime,2023-09-14 09:00:00 +0000,2023-09-14 09:05:00 +0000,2.0
feature_appleStandTime,2023-09-13 16:35:00 +0000,2023-09-13 16:40:00 +0000,1.0
feature_appleStandTime,2023-09-13 16:30:00 +0000,2023-09-13 16:35:00 +0000,2.0
feature_appleStandTime,2023-09-13 16:25:00 +0000,2023-09-13 16:30:00 +0000,4.0
feature_appleStandTime,2023-09-13 16:20:00 +0000,2023-09-13 16:25:00 +0000,1.0
feature_appleStandTime,2023-09-13 16:15:00 +0000,2023-09-13 16:20:00 +0000,2.0
feature_appleStandTime,2023-09-13 16:10:00 +0000,2023-09-13 16:15:00 +0000,2.0
feature_appleStandTime,2023-09-13 16:05:00 +0000,2023-09-13 16:10:00 +0000,2.0
feature_appleStandTime,2023-09-13 16:00:00 +0000,2023-09-13 16:05:00 +0000,2.0
feature_appleStandTime,2023-09-13 15:55:00 +0000,2023-09-13 16:00:00 +0000,2.0
feature_appleStandTime,2023-09-13 15:50:00 +0000,2023-09-13 15:55:00 +0000,2.0
feature_appleStandTime,2023-09-13 15:45:00 +0000,2023-09-13 15:50:00 +0000,2.0
feature_appleStandTime,2023-09-13 15:40:00 +0000,2023-09-13 15:45:00 +0000,1.0
feature_appleStandTime,2023-09-13 15:35:00 +0000,2023-09-13 15:40:00 +0000,2.0
feature_appleStandTime,2023-09-13 15:30:00 +0000,2023-09-13 15:35:00 +0000,2.0
feature_appleStandTime,2023-09-13 15:15:00 +0000,2023-09-13 15:20:00 +0000,1.0
feature_appleStandTime,2023-09-13 15:10:00 +0000,2023-09-13 15:15:00 +0000,2.0
feature_appleStandTime,2023-09-13 14:50:00 +0000,2023-09-13 14:55:00 +0000,2.0
feature_appleStandTime,2023-09-13 14:45:00 +0000,2023-09-13 14:50:00 +0000,5.0
feature_appleStandTime,2023-09-13 14:40:00 +0000,2023-09-13 14:45:00 +0000,2.0
feature_appleStandTime,2023-09-13 14:20:00 +0000,2023-09-13 14:25:00 +0000,1.0
feature_appleStandTime,2023-09-13 14:15:00 +0000,2023-09-13 14:20:00 +0000,1.0
feature_appleStandTime,2023-09-13 13:05:00 +0000,2023-09-13 13:10:00 +0000,1.0
feature_appleStandTime,2023-09-13 12:30:00 +0000,2023-09-13 12:35:00 +0000,1.0
feature_appleStandTime,2023-09-13 11:55:00 +0000,2023-09-13 12:00:00 +0000,1.0
feature_appleStandTime,2023-09-13 11:45:00 +0000,2023-09-13 11:50:00 +0000,1.0
feature_appleStandTime,2023-09-13 11:40:00 +0000,2023-09-13 11:45:00 +0000,1.0
feature_appleStandTime,2023-09-13 11:35:00 +0000,2023-09-13 11:40:00 +0000,1.0
feature_appleStandTime,2023-09-13 11:10:00 +0000,2023-09-13 11:15:00 +0000,1.0
feature_appleStandTime,2023-09-13 11:05:00 +0000,2023-09-13 11:10:00 +0000,2.0
feature_appleStandTime,2023-09-13 11:00:00 +0000,2023-09-13 11:05:00 +0000,1.0
